ADG_CODE,GOOD_NAME,BRAND,CATEGORY,text_input
2009,Կոմպոտ Արտֆուդ սերկևիլ ա/տ 1լ,Artfood,Beverages,Կոմպոտ Արտֆուդ սերկևիլ ա/տ 1լ [BRAND] Artfood [CAT] Beverages
2101,Նեսկաֆե գոլդ 75գ,Nescafe,Beverages,Նեսկաֆե գոլդ 75գ [BRAND] Nescafe [CAT] Beverages
208,Աթենք Խինկալի,Athenk,Food Products,Աթենք Խինկալի [BRAND] Athenk [CAT] Food Products
2202,Զովացուցիչ Ըմպելիք Coca-Cola 0 25լ,Coca-Cola,Beverages,Զովացուցիչ Ըմպելիք Coca-Cola 0 25լ [BRAND] Coca-Cola [CAT] Beverages
2001,Սմբուկի խավիար Ռոյալ 350մլ,Royal,Food Products,Սմբուկի խավիար Ռոյալ 350մլ [BRAND] Royal [CAT] Food Products
6912,Ափսեյի տակդիր պոլիմերից սպիտակ վրան գծերով 30,Unknown,Household,Ափսեյի տակդիր պոլիմերից սպիտակ վրան գծերով 30 [BRAND] Unknown [CAT] Household
6114,ԿԱՆԱՑԻ ՏՐԻԿՈՏԱԺԵ ԲՈԴԻՆԵՐ ՔԻՄԻԱԿԱՆ ԹԵԼԵՐԻՑ 2 ՀԱՏ ZARA,Zara,Clothing,ԿԱՆԱՑԻ ՏՐԻԿՈՏԱԺԵ ԲՈԴԻՆԵՐ ՔԻՄԻԱԿԱՆ ԹԵԼԵՐԻՑ 2 ՀԱՏ ZARA [BRAND] Zara [CAT] Clothing
4803,Քաշովի անձեռոցիկ Սիլկ Սոֆթ 3 շ 150 հ,Silk Soft,Household,Քաշովի անձեռոցիկ Սիլկ Սոֆթ 3 շ 150 հ [BRAND] Silk Soft [CAT] Household
1704,Սենդվիչ / Apache/30գ խառը,Apache,Other,Սենդվիչ / Apache/30գ խառը [BRAND] Apache [CAT] Other
901,ԿԱՊՍՈՒԼԱՅԻՆ ՍՈՒՐՃ NESCAFE DOLCE GUSTO RISTRETTO B,Nescafe,Beverages,ԿԱՊՍՈՒԼԱՅԻՆ ՍՈՒՐՃ NESCAFE DOLCE GUSTO RISTRETTO B [BRAND] Nescafe [CAT] Beverages
