ADG_CODE,GOOD_NAME,BRAND,CATEGORY
2009,Կոմպոտ Արտֆուդ սերկևիլ ա/տ 1լ,Artfood,Beverages
2101,Նեսկաֆե գոլդ 75գ,Nescafe,Beverages
208,Աթենք Խինկալի,Athenk,Food Products
2202,Զովացուցիչ Ըմպելիք Coca-Cola 0 25լ,Coca-Cola,Beverages
2001,Սմբուկի խավիար Ռոյալ 350մլ,Royal,Food Products
6912,Ափսեյի տակդիր պոլիմերից սպիտակ վրան գծերով 30,Unknown,Household
,Գազավորված ըմպելիք կոկա Կոլա 0 5լ,Coca-Cola,Beverages
6114,ԿԱՆԱՑԻ ՏՐԻԿՈՏԱԺԵ ԲՈԴԻՆԵՐ ՔԻՄԻԱԿԱՆ ԹԵԼԵՐԻՑ 2 ՀԱՏ ZARA,Zara,Clothing
4803,Քաշովի անձեռոցիկ Սիլկ Սոֆթ 3 շ 150 հ,Silk Soft,Household
1704,Սենդվիչ / Apache/30գ խառը,Apache,Other
901,ԿԱՊՍՈՒԼԱՅԻՆ ՍՈՒՐՃ NESCAFE DOLCE GUSTO RISTRETTO B,Nescafe,Beverages
1905,ԿՈԶԻՆԱԽ ապաչի,Apache,Other
3401,Լոգանքի գել-խնամք Նիվեա ածուխի ուժը 500մլ,Nivea,Cosmetics
1206,Արևածաղկի սերմեր Ապաչի Միքս 80գ,Apache,Other
2105,Մարիաննա՝ Պաղպ Վաֆլե բաժ,Marianna,Other
1806,Կինդեռ Բուենո Ձվիկ 80գ,Unknown,Other
3306,Ատամի մածուկ Optic White Charcoal 75մլ Colgate,Colgate,Cosmetics
6105,Ամառային շապիկ կանաչ,Unknown,Clothing
1601,երշիկ կոնյակով Գանձասար Աթենք 1հ,Ganjasar,Food Products
1601,Նրբերշիկ ծխեցրած Գանձասար 350գ,Ganjasar,Food Products
6115,Գուլպա մանկական Ալեքս 1788,Alex,Clothing
6104,4065717852065 Ժիլետ,Gillette,Clothing
406,Հալ պանիր Մարիաննա Սերուցքային 180գր,Marianna,Food Products
2001,Բարի ախորժակ 720 մլ Artfood,Artfood,Other
901,ՆԵՍԿԱՖԵ 3/1 ում 9 Հատ,Nescafe,Beverages
1806,Շոկ Սալիկ Ռոշեն 90գ Մրգային,Roshen,Other
101,ՊԱՆԻՐ ՉԱՆԱԽ ՎԱԿՈՒՄ ՄԱՐԻԱՆՆԱ- ԿԳ,Marianna,Food Products
901,ՍՈՒՐՃ ՆԵՍԿԱՖԵ ԴԱՍԱԿԱՆ 47 5Գ Ա/Տ,Nescafe,Beverages
1905,Դարոինք թխվացքաբլիթ Գազանիկ 350գ,Daroink,Other
6112,տղ սպորտ 3303,Unknown,Clothing
,Սուրճ Ռոյալ Արմենիա 100գ,Royal,Beverages
2204,Գինի Art Armenia սպիտակ չոր 0 75լ,Art Armenia,Beverages
2101,Սուրճ Nescafe classic 34g,Nescafe,Beverages
6103,Սպորտ տաբատ տղու 7490,Unknown,Clothing
8543,Լվացքի հեղուկ գել Գունավոր Սավեքս 2 7լ,Savax,Household
9619,պամպեռս 1,Unknown,Other
1905,Քաղցր Ձողիկ Apache 85գ,Apache,Other
4016,KV21121003020 Прокладка ГБЦ для ам ВАЗ2110 с герме,Unknown,Auto Parts
,Փոշի Samsung CLP-300 Yellow 45գր Content,Samsung,Electronics
406,Մարիաննա Պանիր Թել Գունավոր 150գր,Marianna,Food Products
8708,ՍԿԱՎԱՌԱԿԱՅԻՆ ԱՐԳԵԼԱԿՄԱՆ ՀԱՄԱԿԱՐԳԻ ԿՈՃՂԱԿՆԵՐ MERCEDES-BENZ 2000-2009 ԹԹ ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՀԱՄԱՐ WXQP 140223 140245 - 78 ՀԱՎ,Mercedes-Benz,Auto Parts
3306,Կոլգեյթ էքստրա 100,Colgate,Other
1806,Շոկոլադե կոնֆետներ Չրեր Գրանդ Քենդի կգ,Grand Candy,Food Products
2202,Գազավորված ըմպելիք Coca Cola 250 ml,Coca-Cola,Beverages
6115,Գուլպա Ալեքս Ֆեմիլի WTG 52109,Alex,Clothing
1905,Վաֆլի Յաշկինո TWIGGY 185գր,Yashkino,Food Products
2202,Կոկա-Կոլա Կլասսիկ 1լ,Coca-Cola,Beverages
3208,ներկ նիտրո աէրոզոլ AEROPAK N27 կանաչ տերև 285գր ծ,Unknown,Cosmetics
1905,Վաֆլե Գլանակ Դարոյնք Շոկոլադե Միջուկով կգ,Daroink,Food Products
3305,Ներկ Գարնիեր N10,Garnier,Cosmetics
1601,ԱԹԵՆՔ ԽՈԶԱՊՈՒԽՏ ԿԳ,Athenk,Other
2402,Ծխախոտ Ararat Special blue 84/5 4,Unknown,Other
3401,Թաց անձեռոցիկ Սիլկ Սոֆթ մանկական 60հ,Silk Soft,Household
1601,Խոզապուխտ Պապրիկանա Աթենք կգ,Athenk,Other
9619,տակդիր Pampers prem N4 52հտ 7-14կգ,Pampers,Household
901,coca-cola 250 ml,Coca-Cola,Beverages
2101,Nescafe սառը սուրճ 240ml,Nescafe,Beverages
8301,Բռնակ պատուհանի մետաղական սպիտակ,Unknown,Other
8422,Սպասք լվացող մեքենա ներկառուցվող SAMSUNG DW60A6092,Samsung,Household
101,ԿԱԹՆԱՇՈՌԱՅԻՆ ՊԱՆԻՐ ՄԱՐԻԱՆՆԱ 300 գ,Marianna,Food Products
1701,Բամբակ Դարոինկ Լորան 150գ,Unknown,Other
1905,ԴԱՐՈԻՆՔ ԻՐԻՍ ԿԳ,Daroink,Other
3306,ատամի մած Colgate 75մլ մանկական,Colgate,Clothing
3305,Գարնիեր ներկ Վարսերի համար Սենսաթիոն 4 12,Garnier,Cosmetics
3306,Քոլգեյթ մանկական ելակի,Colgate,Clothing
1905,Կինդեր Սյուրպրիզ MAXI 100գ,Unknown,Other
6115,Գուլպա Ալեքս սպորտ կանացի սև 31-34 չափս W-5706,Alex,Clothing
901,Սուրճ Royal brazilia 100g,Royal,Beverages
6112,ԱՂՋԻԿՆԵՐԻ ՏՐԻԿՈՏԱԺԵ ԼՈՂԱԶԳԵՍՏՆԵՐ ԱՅԼ ՄԱՆԱԾԱԳՈՐԾԱԿԱՆ ՆՅՈՒԹԵՐԻՑ ZARA,Zara,Clothing
1806,Քինդեր դելիսե,Unknown,Other
3306,Ատամի մածուկ Colgate Senstive Սպիտակեցում 75գ,Colgate,Cosmetics
1601,Եփած երշիկ Գանձասար,Ganjasar,Food Products
2101,ըմպելիք Milka Chocolate կարամելային 250մլ,Milka,Beverages
,Բջջային հեռախոս SAMSUNG S23FE S711 128GB Gray,Samsung,Electronics
2105,Գլանակ Վաֆլի Մարիաննա,Marianna,Food Products
2202,Grand Candy // ՍԱՌ ԹԵՅ//,Grand Candy,Beverages
1704,Ձեռնոց ոչ ստերիլ S N100,Unknown,Other
3925,Соединитель К55 ДУБ РСТ 220 03 С,Unknown,Other
1905,Փափկաբլիթ Գրանդ Քենդի Սմայլիկ իրիսային միջուկով 5,Grand Candy,Other
1206,Արևածաղիկ Ապաչի սև-սպիտակ 70գ,Apache,Other
3305,Շամպուն Nivea 250մլ,Nivea,Cosmetics
3306,Կոլգեյթ Ատամի մածուկ 50 մլ օպտիկ,Colgate,Cosmetics
8512,ՀԱԼՈԳԵՆ ՁԱԽ GX470 ԿԱՆԱՉ 0 65,Unknown,Other
2005,Ախորժակ Արտֆուդ 720մլ шт,Artfood,Other
2205,Գինի արմենիա 0 75 նռան կ/ք ԳԱ,Unknown,Beverages
3917,ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՕԴԱՏԱՐ ՊԼ ՃԿԱԽՈՂՈՎԱԿ՝ ՈՒՆԻՎԵՐՍԱԼ MERCEDES-BENZ ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆԻ ԱՐՏԻԿՈՒԼ՝ A1665000161 1 ՀԱՏ,Mercedes-Benz,Auto Parts
1806,Բատոն Քինդեր Բուենոս սև 43գր,Unknown,Other
1905,Կոնֆետներ Պանդա Գրանդ Քենդի կգ / 00 112,Grand Candy,Food Products
4803,ԱՆՁԵՌՈՑԻԿ ՔԱՇՈՎԻ SILK SOFT 250Հ,Silk Soft,Household
2103,Արտֆուդ N4 կետչուպ 250մլ,Artfood,Food Products
403,ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ,Marianna,Other
,Արտ Արմենիա գինի 0 7լ,Art Armenia,Beverages
1602,Շպիկ Աթենք 1կգ,Athenk,Other
6302,ԱՆԿՈՂՆԱՅԻՆ ՍՊԻՏԱԿԵՂԵՆ ՏՊԱԳՐՎԱԾ ԲԱՄԲԱԿԵ ՄԱՆՎԱԾՔԻՑ 21 ՀԱՏ ZARA HOME,Zara,Other
406,Բիոկաթնաշոռ Մարիաննա 9 90գր,Marianna,Food Products
1806,Կոնֆետ Թռչնի Կաթ Գրանդ Քենդի,Grand Candy,Food Products
1806,Շոկ սալիկ Միլկա Ընկ 90 գ,Milka,Other
9603,S-19 Վալիկ,Unknown,Other
1704,Ապաչի պեչենի կգ,Apache,Other
4016,1997Թ MERCEDES-BENZ ՄԱՐԴԱՏԱՐ ԱՎՏՈՄԵՔԵՆԱՅԻ ՇԱՐԺԻՉԻ ՀԵՆԱԲԱՐՁԵՐ ՄԵՏԱՂՈՎ ԼՑՎԱԾ ՎՈՒԼԿԱՆԱՑՎԱԾ ՌԵՏԻՆԻՑ LEMFOERDER ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆՈՎ ZF ՖԻՐՄԱՅԻ ԱՐՏԻԿՈՒԼ 25061 01 - 10ՀԱՏ ՀՀ ՊԵԿ Մ Ս ՕԲՅԵԿՏՆԵՐԻ ԳՐԱՆՑԱՄԱՏՅԱՆԻ ԹԻՎ 627 ՏՈՂ,Mercedes-Benz,Auto Parts
6116,Ձեռնոց կանաչ սինթեթիկ,Unknown,Other
8512,MERCEDES-BENZ ՄԱԿՆԻՇԻ W202 ԹԱՓՔՈՎ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԻ ԹԱՐԹԻՉ-ԸՆԴԱՏԻՉՆԵՐ ՕԳՏԱԳՈՐԾՎԱԾ ԸՍՏ Փ/Ե 07412301 ԱՌ 20 10 2023Թ,Mercedes-Benz,Auto Parts
2001,կարմիր պղպեղի մարինադ 500գ ռոյալ,Royal,Other
3004,Բրլիանտ կանաչ 1 10մլ /էսկուլապ,Unknown,Other
2204,Գինի Արտ Արմենիա Նռան կիսաքաղցր 0 75լ,Art Armenia,Beverages
2003,Աջիկա Արտֆուդ 380գ,Artfood,Other
8516,ԿԵՆՑԱՂԱՅԻՆ ՍԱԼՕՋԱԽ ՆԵՐԿԱՌՈՒՑՎՈՂ ԿԵՐԱՄԻԿԱԿԱՆ ԱՊԱԿՈՒՑ ՄԱԿԵՐԵՎՈՒՅԹՈՎ ՈՉ ԻՆԴՈՒԿՑԻՈՆ 4 ԷԼԵԿՏՐԱԿԱՆ ԱՅՐԻՉՆԵՐՈՎ NZ64T3516AK/WT SAMSUNG ԱՊՐԱՆՔԱՆՇԱՆԻ,Samsung,Electronics
6106,ւզ ԶԱՌԱ կոդ 399 շատ բուլաֆկա,Zara,Other
1905,Կրեկեր Apache 35գ,Apache,Other
1806,Բոն Թենդեր Ռոշեն 120գ,Roshen,Other
1905,Կրուասան շոկոլադային միջուկով Դարոինկ 360գր,Unknown,Food Products
3004,Ներկ մազերի GARINER 3 61 сочная ежевика 54744,Unknown,Cosmetics
403,Մարիաննա Կեֆիր 450գ,Marianna,Food Products
8505,Պոլիզեռին մագնիս Արմենիա բալկոն,Unknown,Other
2103,7 Արտֆուդ իտալական 400 գր,Artfood,Other
1601,Բժշկական Գանձասար 310գ հատ,Ganjasar,Other
4014,Լոգանքի Գել NIVEA Օվկիանոս 250մլ,Nivea,Cosmetics
8215,Շիպցի Royal Ford B-H21 10,Royal,Other
2101,C NESCAFE GOLD Aroma intenso Jar 85g,Nescafe,Other
6203,124603-BW 134-140 տղ կիսակոմբինեզոն սև/սպիտակ չա,Unknown,Clothing
4818,Փափուկ անձեռ Սիլկ սոֆթ 33 33 100հատ/1075,Silk Soft,Other
1905,Յաշկինո Թխվածքաբլիթ սերուցքային 190գ,Yashkino,Food Products
3306,Մածուկ ատամի Colgate 100մլ Մաքս Բլեսկ սպիտակ,Colgate,Other
3004,Սպիրտ 96 500ml Armenia,Armenia,Other
3924,վազ կեռամիկա AV-12041 կանաչ,Unknown,Auto Parts
6112,135427-74 46 Կանացի լողազգեստ մուգ կանաչ չ 46,Unknown,Clothing
8205,Վալիկի գլանակ 4/100մմ FINDER,Finder,Other
4818,Տետր կանաչ 12թերթ,Unknown,Other
1905,Թխվածքաբլիթ շաքարով Ռոշեն Մուլտի-Քեյք կակաո 180 գ,Roshen,Food Products
8708,2013Թ RANGE ROVER SPORT ՄԱԿՆԻԻՇԻ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԵՐ 2 ՀԱՏ ԱՌԱՆՑ ՄԱԿՆՇՄԱՆ ԱՌԱՆՑ ԱՐՏԻԿՈՒԼ,Unknown,Other
1905,Roshen Multi Cake 180գր,Roshen,Other
3402,Թ Փրփուր Ժիլետ 200մլ,Gillette,Clothing
1905,Թխվացքաբլիթ Տոնդի 190գ Յաշկինո,Yashkino,Other
6404,ԿՏՈՐ ՍՊՈՐՏ ԿՈՇԻԿ ՏՂՈՒ Z7003-1-3,Unknown,Clothing
3307,Nivea Men Գել սափրվելու համար 200մլ Մաքուր մաշկ,Nivea,Cosmetics
3212,Ռոյալ Գուաշ 30 0 1լ,Royal,Other
1601,Երշիկ Գանձասար բժշկական եփած հատ,Ganjasar,Food Products
8528,ՀԵՌՈՒՍՏԱՑՈՒՅՑ SAMSUNG QE50LS03FAUXRU 50 ԴՅՈՒՅՄ ՔՎԱՆՏԱՅԻՆ ՀԵՂՈՒԿ ԲՅՈՒՐԵՂՅԱ ԷԿՐԱՆՈՎ՝ ՀԱՄԱԿՑՎԱԾ ՁԱՅՆԻ ԵՎ ՊԱՏԿԵՐԻ ՎԵՐԱՐՏԱԴՐՄԱՆ ՍԱՐՔԱՎՈՐՈՒՄՈՎ QLED_x000D_ SN 0AMU3K4Y400001R 0AMU3K4Y400002A_x000D_ 0AMU3K4Y400003V 0AMU3K4Y400004E_x000D_ 0AMU3K4Y400005Z 0AMU3K4Y400006M_x000D_ 0AMU3K4Y400007X 0AMU3K4Y400008B_x000D_ 0AMU3K4Y400009H 0AMU3K4Y400010K_x000D_ 0AMU3K4Y400011J_x000D_ 0AMU3K4Y400012D_x000D_ 0AMU3K4Y400013T_x000D_ 0AMU3K4Y400014R_x000D_ 0AMU3K4Y400015A_x000D_ 0AMU3K4Y400016V_x000D_ 0AMU3K4Y400017E_x000D_ 0AMU3K4Y400018Z,Samsung,Electronics
2209,Քացախ խնձորի արտֆուդ 430մլ,Artfood,Other
1601,Ուտեստ Պալերմո Աթենք,Athenk,Other
3305,Garnier Fructis Shampoo 650ml,Garnier,Other
711,ՌՈՅԱԼ ՍՄԲՈՒԿԻ ԽԱՎԻԱՐ 350Գ,Royal,Food Products
9619,ՊԱՄՊԵՐՍ ԳԻԶՄՈ 4 ՀԱՏ,Pampers,Other
,Շոկոլադե Ձվիկ Kinder JOY Girl,Unknown,Food Products
