BRAND,Product_Count,Unique_ADG_Codes,Avg_Confidence
Unknown,599,156,0.0
Ganjasar,68,12,0.99
Yashkino,66,9,0.97
Samsung,66,18,0.98
Marianna,65,9,1.0
Nivea,65,11,0.99
Nescafe,65,13,1.0
Mercedes-Benz,65,25,1.0
Apache,64,18,0.98
Milka,64,11,0.99
Royal,63,30,0.97
Coca-Cola,63,15,1.0
Alex,62,9,1.0
Gillette,62,24,0.97
Athenk,62,10,0.95
Zara,62,29,0.83
Colgate,61,11,0.99
Roshen,61,6,0.96
Grand Candy,59,13,1.0
Savax,55,6,0.99
Garnier,53,5,1.0
Pampers,52,11,1.0
Daroink,46,6,0.97
Silk Soft,42,13,1.0
Finder,22,11,0.94
Salve,10,5,0.98
Artfood,8,7,0.98
Art Armenia,8,3,1.0
Armenia,8,4,1.0
