GOOD_NAME,ADG_CODE,ADG_CODE_CLEANED,GOOD_NAME_CLEANED,weight_g,weight_kg,volume_ml,volume_l,count,size,BRAND,BRAND_CONFIDENCE,CATEGORY,GOOD_NAME_NORMALIZED,price_amd,quantity_kg,IS_MISSING_BRAND,HAS_MEASUREMENT,NAME_LENGTH,WORD_COUNT,PRODUCT_ID
Շոկոլադե Ձվիկ «Kinder» JOY Girl,,-1,Շոկոլադե Ձվիկ Kinder JOY Girl,0.0,0.0,0.0,0.0,0.0,0,Unknown,0.0,Food Products,Շոկոլադե Ձվիկ Kinder JOY Girl,0.0,0.0,1,0,29,5,144
Մածուկ Կոլգեյթ Max Fresh Cln Mint 10 0մլ,,-1,Մածուկ Կոլգեյթ Max Fresh Cln Mint 10 0մլ,0.0,0.0,0.0,0.0,0.0,0,Colgate,1.0,Clothing,Մածուկ Max Fresh Cln Mint 10,0.0,0.0,0,1,40,8,194
Քոլգեյթ ատամի խոզանակ կլասիկ,,-1,Քոլգեյթ ատամի խոզանակ կլասիկ,0.0,0.0,0.0,0.0,0.0,0,Colgate,1.0,Other,ատամի խոզանակ կլասիկ,0.0,0.0,0,0,28,4,761
C NESCAFE CLASSIC Arabica Doy Pack 8x320g- լուծվող սուրճ 12477176,,-1,C NESCAFE CLASSIC Arabica Doy Pack 8x320g- լուծվող սուրճ 12477176,320.0,0.0,0.0,0.0,0.0,0,Nescafe,1.0,Beverages,C CLASSIC Arabica Doy Pack 8x- լուծվող սուրճ 12477176,0.0,0.0,0,1,65,10,1935
LED Հեռուստացույց SAMSUNG UE65CU8000UXRU,,-1,LED Հեռուստացույց SAMSUNG UE65CU8000UXRU,0.0,0.0,0.0,0.0,0.0,0,Samsung,1.0,Electronics,LED Հեռուստացույց UE65CU8000UXRU,0.0,0.0,0,0,40,4,765
C NESCAFE GOLD Arabica Doy Pack12x40g- լուծվող սուրճ 12448687,,-1,C NESCAFE GOLD Arabica Doy Pack12x40g- լուծվող սուրճ 12448687,40.0,0.0,0.0,0.0,0.0,0,Nescafe,1.0,Beverages,C GOLD Arabica Doy Pack12x- լուծվող սուրճ 12448687,0.0,0.0,0,1,61,9,860
Գինի Արմենիա կարմիր չոր 1․5լ,,-1,Գինի Արմենիա կարմիր չոր 1 5լ,0.0,0.0,5000.0,5.0,0.0,0,Unknown,0.0,Beverages,Գինի Արմենիա կարմիր չոր 1,0.0,0.0,1,1,28,6,1024
Անձեռոցիկ փափուկ  300հ 2շ   Սիլկ Սոֆտ,,-1,Անձեռոցիկ փափուկ 300հ 2շ Սիլկ Սոֆտ,0.0,0.0,0.0,0.0,300.0,0,Unknown,0.0,Household,Անձեռոցիկ փափուկ 2շ Սիլկ Սոֆտ,0.0,0.0,1,1,34,6,1387
Պանիր Չանախ   47%  4.5 կգ /կանաչիով/,,-1,Պանիր Չանախ 47 4 5 կգ /կանաչիով/,5000.0,5.0,0.0,0.0,0.0,0,Unknown,0.0,Food Products,Պանիր Չանախ 47 4 /կանաչիով/,0.0,5.0,1,1,32,7,1254
անձեռոցիկ քաշովի Սիլկ Սոֆթ 100h 3շ 2521,,-1,անձեռոցիկ քաշովի Սիլկ Սոֆթ 100h 3շ 2521,0.0,0.0,0.0,0.0,0.0,0,Silk Soft,1.0,Household,անձեռոցիկ քաշովի 100h 3շ 2521,0.0,0.0,0,0,39,7,907
Սափրիչ Gillette Venus Breeze 1հատ,,-1,Սափրիչ Gillette Venus Breeze 1հատ,0.0,0.0,0.0,0.0,1.0,0,Gillette,1.0,Cosmetics,Սափրիչ Venus Breeze,0.0,0.0,0,1,33,5,1105
Զուգագուլպա Alex Classica 40 Natural 3/M,,-1,Զուգագուլպա Alex Classica 40 Natural 3/M,0.0,0.0,0.0,0.0,0.0,M,Alex,1.0,Clothing,Զուգագուլպա Classica 40 Natural 3/M,0.0,0.0,0,0,40,6,1104
Գազավորված ըմպելիք Կոկա Կոլա,,-1,Գազավորված ըմպելիք Կոկա Կոլա,0.0,0.0,0.0,0.0,0.0,0,Coca-Cola,1.0,Beverages,Գազավորված ըմպելիք,0.0,0.0,0,0,28,4,1468
Ararat Charcoal s. sl,,-1,Ararat Charcoal s sl,0.0,0.0,0.0,0.0,0.0,S,Unknown,0.0,Clothing,Ararat Charcoal s sl,0.0,0.0,1,0,20,4,1745
Տակդիրներ մանկական Փամփերս Մաքսի 9-14կգ №13,,-1,Տակդիրներ մանկական Փամփերս Մաքսի 9-14կգ 13,14000.0,14.0,0.0,0.0,0.0,0,Unknown,0.0,Household,Տակդիրներ մանկական Փամփերս Մաքսի 9- 13,0.0,14.0,1,1,42,6,570
Samsung Galaxy A25 8/128GB,,-1,Samsung Galaxy A25 8/128GB,0.0,0.0,0.0,0.0,0.0,0,Samsung,1.0,Electronics,Galaxy A25 8/128GB,0.0,0.0,0,0,26,4,674
Քարթրիջ  Samsung SCX4200 3K NetProduct,,-1,Քարթրիջ Samsung SCX4200 3K NetProduct,0.0,0.0,0.0,0.0,0.0,0,Samsung,1.0,Electronics,Քարթրիջ SCX4200 3K NetProduct,0.0,0.0,0,0,37,5,671
